name,youtube_url,date,court,duration_minutes
Final - Victoria Jonsson / Margarita Nilsson vs Amanda Norman / Johanna Rönnblom,https://www.youtube.com/watch?v=Ig_G35AExFY,2026-03-21 15:40,Bana 4,90
Gruppspel - Teodor Norup / Nicklas Larsson vs Emil Wennersten / Vidar Hollinger,https://www.youtube.com/watch?v=R1D3yh4FpEM,2026-03-21 15:00,Bana 8,90
Gruppspel - Erik Rundqvist / Pavle Cani vs Niklas Gustafsson / Rickard Sandberg,https://www.youtube.com/watch?v=Z2CkshYk2Yo,2026-03-21 15:00,Bana 9,90
Gruppspel - Alvin Bolin / Elliott Bolin vs Philip Kuehn Krylborn / Charlie Ohlén,https://www.youtube.com/watch?v=AIBxi9motOs,2026-03-21 15:00,Bana 10,90
Gruppspel - Oliver Lundmark / Anders Hellvig vs Martin Tiberg / Max Unestål Ortlieb,https://www.youtube.com/watch?v=X6qTMdEo7ok,2026-03-21 15:00,Bana 7,90
Semi 2 - Isabella Mikkonen / Tove Sparrman vs Amanda Norman / Johanna Rönnblom,https://www.youtube.com/watch?v=FZ5x5Abdv_0,2026-03-21 15:00,Bana 4,90
Gruppspel - Teodor Norup / Nicklas Larsson vs Andreas Aurelius / Peter Barmyr,https://www.youtube.com/watch?v=O65iab3GJq8,2026-03-21 14:20,Bana 8,90
Gruppspel - Erik Rundqvist / Pavle Cani vs Jonas Pettersson / Jakob Liv,https://www.youtube.com/watch?v=1N-MwXusIwI,2026-03-21 14:20,Bana 9,90
Gruppspel - Alvin Bolin / Elliott Bolin vs Zia Qasemi / Wilhelm Ek Tedefors,https://www.youtube.com/watch?v=RlW8mRiMY_M,2026-03-21 14:20,Bana 10,90
Gruppspel - Oliver Lundmark / Anders Hellvig vs Brady Nilsson / Stefan Karlsson,https://www.youtube.com/watch?v=fOAep1QAk9A,2026-03-21 14:20,Bana 7,90
Kvart 4 - Anette Svensson / Susanna Tiainen vs Amanda Norman / Johanna Rönnblom,https://www.youtube.com/watch?v=FE_U8XK9KNw,2026-03-21 14:20,Bana 4,90
Gruppspel - Jacob Immerstrand / Erik Jilnö vs Philip Kuehn Krylborn / Charlie Ohlén,https://www.youtube.com/watch?v=--04s5rZtmI,2026-03-21 13:40,Bana 10,90
Gruppspel - Oskar Öberg / Alexander Öberg vs Emil Wennersten / Vidar Hollinger,https://www.youtube.com/watch?v=BPpC46s2XLA,2026-03-21 13:40,Bana 8,90
Gruppspel - Ludwig Widerström Jonsson / Linus Stjernberg vs Niklas Gustafsson / Rickard Sa,https://www.youtube.com/watch?v=cZ4zSDCRAGQ,2026-03-21 13:40,Bana 9,90
Gruppspel - Henning Zettergren / Stefhan Jägare vs Martin Tiberg / Max Unestål Ortlieb,https://www.youtube.com/watch?v=bPigs5FjRNg,2026-03-21 13:40,Bana 7,90
Gruppspel - Näva von Rosen / Patrica Sjöblom vs Ulrika Sanders Jonsson / Delia Daniele,https://www.youtube.com/watch?v=1arUv_drFgE,2026-03-21 13:40,Bana 4,90
Gruppspel - Teodor Norup / Nicklas Larsson vs Oskar Öberg / Alexander Öberg,https://www.youtube.com/watch?v=23Eyv2gRfuw,2026-03-21 13:00,Bana 8,90
Gruppspel - Erik Rundqvist / Pavle Cani vs Ludwig Widerström Jonsson / Linus Stjernberg,https://www.youtube.com/watch?v=k9Cw-x9ThiM,2026-03-21 13:00,Bana 9,90
Gruppspel - Alvin Bolin / Elliott Bolin vs Jacob Immerstrand / Erik Jilnö,https://www.youtube.com/watch?v=mbCacozhMPc,2026-03-21 13:00,Bana 10,90
Gruppspel - Oliver Lundmark / Anders Hellvig vs Henning Zettergren / Stefhan Jägare,https://www.youtube.com/watch?v=zYeaVKyzTC8,2026-03-21 13:00,Bana 7,90
Gruppspel - Ulrika Sanders Jonsson / Delia Daniele vs Amanda Norman / Johanna Rönnblom,https://www.youtube.com/watch?v=r82oWVUD6FU,2026-03-21 13:00,Bana 4,90
Gruppspel - Andreas Aurelius / Peter Barmyr vs Emil Wennersten / Vidar Hollinger,https://www.youtube.com/watch?v=h12tDhFpR7w,2026-03-21 12:20,Bana 8,90
Gruppspel - Jonas Pettersson / Jakob Liv vs Niklas Gustafsson / Rickard Sandberg,https://www.youtube.com/watch?v=LMseBP2nu1Q,2026-03-21 12:20,Bana 9,90
Gruppspel - Zia Qasemi / Wilhelm Ek Tedefors vs Philip Kuehn Krylborn / Charlie Ohlén,https://www.youtube.com/watch?v=Uy3xr8iKDiU,2026-03-21 12:20,Bana 10,90
Gruppspel - Brady Nilsson / Stefan Karlsson vs Martin Tiberg / Max Unestål Ortlieb,https://www.youtube.com/watch?v=OoJvRiu1_Ls,2026-03-21 12:20,Bana 7,90
Gruppspel - Amanda Norman / Johanna Rönnblom vs Näva von Rosen / Patrica Sjöblom,https://www.youtube.com/watch?v=dwgkZXiUmKU,2026-03-21 12:20,Bana 4,90
Zenith 2026-03-18 - Bana 7,https://www.youtube.com/watch?v=5gVQRfVFt2Q,2026-03-18 20:30,Bana 7,110
Zenith 2026-03-18 - Bana 8,https://www.youtube.com/watch?v=i7xcWfrQsxU,2026-03-18 20:30,Bana 8,110
Meteor 2026-03-18 - Bana 9,https://www.youtube.com/watch?v=BDO_AN3RDf8,2026-03-18 20:30,Bana 9,90
Meteor 2026-03-18 - Bana 10,https://www.youtube.com/watch?v=6KIx1yoanpo,2026-03-18 20:30,Bana 10,90
Galax 2026-03-18,https://www.youtube.com/watch?v=o6ZENjJDPx8,2026-03-18 20:30,Bana 4,90
Ametist 2026-03-18,https://www.youtube.com/watch?v=BM0ubeXHv7c,2026-03-18 19:00,Bana 4,90
Lyran 2026-03-18 - Bana 7,https://www.youtube.com/watch?v=Vnvy5j8iI9s,2026-03-18 19:00,Bana 7,90
Lyran 2026-03-18 - Bana 8,https://www.youtube.com/watch?v=H4iAvTv6fP4,2026-03-18 19:00,Bana 8,90
Atlas 2026-03-18 - Bana 9,https://www.youtube.com/watch?v=NAgIYD1jW0g,2026-03-18 19:00,Bana 9,90
Atlas 2026-03-18 - Bana 10,https://www.youtube.com/watch?v=y4tVZ6nyP04,2026-03-18 19:00,Bana 10,90
Tränare Onsdag 17.00 våren 2026 2026-03-18 - Bana 9,https://www.youtube.com/watch?v=In4jJ_BvpVo,2026-03-18 17:00,Bana 9,90
Tränare Onsdag 17.00 våren 2026 2026-03-18 - Bana 10,https://www.youtube.com/watch?v=ZkPYPRiXSx4,2026-03-18 17:00,Bana 10,90
Tränare Tisdag 20.30 våren 2026 2026-03-17 - Bana 10,https://www.youtube.com/watch?v=YNhSipalZOE,2026-03-17 20:30,Bana 10,90
Tränare Tisdag 20.30 våren 2026 2026-03-17 - Bana 8,https://www.youtube.com/watch?v=M_bj7hnXNEc,2026-03-17 20:30,Bana 8,90
Tränare Tisdag 20.30 våren 2026 2026-03-17 - Bana 9,https://www.youtube.com/watch?v=slS7B--Lne8,2026-03-17 20:30,Bana 9,90
Tränare Tisdag 17.00 våren 2026 2026-03-17 - Bana 10,https://www.youtube.com/watch?v=kX0FwqTPpNo,2026-03-17 17:00,Bana 10,90
Tränare Tisdag 17.00 våren 2026 2026-03-17 - Bana 7,https://www.youtube.com/watch?v=TBnnB7vyi4o,2026-03-17 17:00,Bana 7,90
Tränare Tisdag 17.00 våren 2026 2026-03-17 - Bana 8,https://www.youtube.com/watch?v=rIY42GiYiH4,2026-03-17 17:00,Bana 8,90
Tränare Tisdag 17.00 våren 2026 2026-03-17 - Bana 9,https://www.youtube.com/watch?v=4TzY9O-bafQ,2026-03-17 17:00,Bana 9,90
Tränare Måndag 20.30 våren 2026 2026-03-16 - Bana 10,https://www.youtube.com/watch?v=89pmitpkues,2026-03-16 20:30,Bana 10,90
Tränare Måndag 20.30 våren 2026 2026-03-16 - Bana 8,https://www.youtube.com/watch?v=yaP7eu9bPjg,2026-03-16 20:30,Bana 8,90
Tränare Måndag 20.30 våren 2026 2026-03-16 - Bana 9,https://www.youtube.com/watch?v=yCpbBMNto5s,2026-03-16 20:30,Bana 9,90
Smaragd 2026-03-16,https://www.youtube.com/watch?v=c778KutSaWQ,2026-03-16 20:30,Bana 7,90
Pollux 2026-03-16,https://www.youtube.com/watch?v=QaPa-V7yrfY,2026-03-16 20:30,Bana 4,90
Tränare Måndag 19.00 våren 2026 2026-03-16 - Bana 10,https://www.youtube.com/watch?v=OQaFzWizzq4,2026-03-16 19:00,Bana 10,90
Tränare Måndag 19.00 våren 2026 2026-03-16 - Bana 8,https://www.youtube.com/watch?v=wMKCsqtyWXU,2026-03-16 19:00,Bana 8,90
Tränare Måndag 19.00 våren 2026 2026-03-16 - Bana 9,https://www.youtube.com/watch?v=4uLhtpRtv5E,2026-03-16 19:00,Bana 9,90
Sirius 2026-03-16,https://www.youtube.com/watch?v=uqDARDbjJzI,2026-03-16 19:00,Bana 7,90
Rubin 2026-03-16,https://www.youtube.com/watch?v=548U2r4tNXs,2026-03-16 19:00,Bana 4,90
Diamant 2026-03-16,https://www.youtube.com/watch?v=GdAHl56164c,2026-03-16 17:30,Bana 4,90
Tränare Måndag 17.00 våren 2026 2026-03-16 - Bana 10,https://www.youtube.com/watch?v=ih5CgH1iH8A,2026-03-16 17:00,Bana 10,120
Tränare Måndag 17.00 våren 2026 2026-03-16 - Bana 7,https://www.youtube.com/watch?v=oVHjcQmwclg,2026-03-16 17:00,Bana 7,120
Tränare Måndag 17.00 våren 2026 2026-03-16 - Bana 8,https://www.youtube.com/watch?v=I4X6l73pYP8,2026-03-16 17:00,Bana 8,120
Tränare Måndag 17.00 våren 2026 2026-03-16 - Bana 9,https://www.youtube.com/watch?v=jxlnzGKmf_Q,2026-03-16 17:00,Bana 9,120
Matchmaking: David Cabrera,https://www.youtube.com/watch?v=990CZQWvB6g,2026-03-16 16:00,Bana 4,90
Komet 2026-03-15 - Bana 10,https://www.youtube.com/watch?v=0t3BiXHCFvs,2026-03-15 18:30,Bana 10,120
Komet 2026-03-15 - Bana 7,https://www.youtube.com/watch?v=nqTdY02XOq0,2026-03-15 18:30,Bana 7,120
Komet 2026-03-15 - Bana 8,https://www.youtube.com/watch?v=lf9G8HTejiQ,2026-03-15 18:30,Bana 8,120
Komet 2026-03-15 - Bana 9,https://www.youtube.com/watch?v=MuW58jm9cEo,2026-03-15 18:30,Bana 9,120
Tanzanit 2026-03-15,https://www.youtube.com/watch?v=3OCD2pnsxOk,2026-03-15 18:30,Bana 4,90
Cosmos 2026-03-15,https://www.youtube.com/watch?v=gm24uPLR3mQ,2026-03-15 17:00,Bana 4,90
Luna 2026-03-15 - Bana 7,https://www.youtube.com/watch?v=ltu7lrK0nOk,2026-03-15 17:00,Bana 7,90
Luna 2026-03-15 - Bana 8,https://www.youtube.com/watch?v=7yRMj3Ymnqc,2026-03-15 17:00,Bana 8,90
Luna 2026-03-15 - Bana 9,https://www.youtube.com/watch?v=kqT_mVTIemc,2026-03-15 17:00,Bana 9,90
Luna 2026-03-15 - Bana 10,https://www.youtube.com/watch?v=YsZCs6t5W3w,2026-03-15 17:00,Bana 10,90
